name,pos,indct,from,to,1_allpro,probowl,years_started,carav,games_played
Bill Hewitt,E,1971,1932,1943,4,0,7,0,101
Bruiser Kinard,T,1971,1938,1947,4,5,8,0,101
Andy Robustelli,DE,1971,1951,1964,6,7,14,47,175
Y.A. Tittle,QB,1971,1948,1964,3,7,14,44,204
Norm Van Brocklin,QB,1971,1949,1960,1,9,9,17,140
Jack Christiansen,DB,1970,1951,1958,6,5,8,0,89
Tom Fears,E,1970,1948,1956,1,1,6,0,87
Hugh McElhenny,HB,1970,1952,1964,2,6,10,19,143
Pete Pihos,E,1970,1947,1955,5,6,9,0,107
Turk Edwards,T,1969,1932,1940,3,1,7,0,86
Leo Nomellini,DT,1969,1950,1963,6,10,13,30,174
Joe Perry,FB,1969,1948,1963,2,3,11,15,183
Ernie Stautner,DT,1969,1950,1963,1,9,13,25,173
Cliff Battles,TB,1968,1932,1937,3,0,5,0,60
Art Donovan,DT,1968,1950,1961,4,5,11,17,138
Elroy Hirsch,E,1968,1946,1957,2,3,9,0,127
Wayne Millner,E,1968,1936,1945,0,0,5,0,76
Marion Motley,FB,1968,1946,1955,2,1,7,0,105
Charley Trippi,HB,1968,1947,1955,1,2,7,0,99
Alex Wojciechowicz,C,1968,1938,1950,0,0,6,0,134
Chuck Bednarik,LB,1967,1949,1962,6,8,14,29,169
Bobby Layne,QB,1967,1948,1962,2,6,13,20,175
Ken Strong,FB,1967,1929,1947,3,0,8,0,131
Joe Stydahar,T,1967,1936,1946,4,4,5,0,84
Emlen Tunnell,DB,1967,1948,1961,4,9,11,7,167
Bill Dudley,HB,1966,1942,1953,1,3,8,0,90
Joe Guyon,WB,1966,1920,1927,0,0,3,0,46
Arnie Herber,TB,1966,1930,1945,1,1,7,0,129
Walt Kiesling,G,1966,1926,1938,1,0,7,0,125
George McAfee,HB,1966,1940,1950,1,1,4,0,75
Bulldog Turner,C,1966,1940,1952,7,4,12,0,138
Paddy Driscoll,HB,1965,1920,1929,6,0,9,0,118
Danny Fortmann,G,1965,1936,1943,6,3,8,0,86
Otto Graham,QB,1965,1946,1955,7,5,10,0,126
Sid Luckman,QB,1965,1939,1950,5,3,10,0,128
Steve Van Buren,HB,1965,1944,1951,5,0,8,0,83
Bob Waterfield,QB,1965,1945,1952,3,2,6,0,91
Ed Healey,T,1964,1920,1927,4,0,7,0,88
Clarke Hinkle,FB,1964,1932,1941,4,3,9,0,113
Link Lyman,T,1964,1922,1934,2,0,10,0,133
Mike Michalske,G,1964,1927,1937,5,0,9,0,122
George Trafton,C,1964,1920,1932,2,0,9,0,148
Sammy Baugh,QB,1963,1937,1952,4,6,13,0,167
Johnny Blood,TB,1963,1925,1938,0,0,8,0,137
Dutch Clark,TB,1963,1931,1938,6,0,5,0,75
Red Grange,HB,1963,1925,1934,2,0,2,0,96
Mel Hein,C,1963,1931,1945,5,4,15,0,170
Pete Henry,T,1963,1920,1928,4,0,7,0,86
Cal Hubbard,T,1963,1927,1936,4,0,6,0,105
Don Hutson,E,1963,1935,1945,8,4,8,0,116
Bronko Nagurski,FB,1963,1930,1943,4,0,7,0,97
Ernie Nevers,FB,1963,1926,1931,5,0,5,0,54
Jim Thorpe,TB,1963,1920,1928,1,0,3,0,52
